Exxon Mobil Corp XOM
,,,,,,
,Date,Open,High,Low,Close,Volume
,"Mar 11, 2021",61.78,62.55,61.26,61.31,"24,802,645"
,"Mar 12, 2021",61.55,62.37,61.50,61.97,"20,422,690"
,"Mar 15, 2021",61.49,61.86,59.87,60.39,"31,263,556"
,"Mar 16, 2021",59.54,59.66,58.44,59.11,"30,624,760"
,"Mar 17, 2021",58.69,59.73,58.62,59.37,"25,575,478"
,"Mar 18, 2021",58.81,58.97,56.52,56.81,"38,622,825"
,"Mar 19, 2021",56.71,57.47,55.81,56.49,"84,439,408"
,"Mar 22, 2021",56.50,56.86,55.90,55.91,"29,315,083"
,"Mar 23, 2021",54.94,56.29,54.45,55.22,"33,493,304"
,"Mar 24, 2021",56.08,57.28,56.08,56.34,"29,781,777"
,"Mar 25, 2021",55.21,56.50,54.50,56.18,"31,495,919"
,"Mar 26, 2021",57.30,57.78,56.52,57.71,"34,226,459"
,"Mar 29, 2021",57.34,57.82,56.74,57.40,"21,144,403"
,"Mar 30, 2021",56.86,57.36,56.49,56.69,"20,303,427"
,"Mar 31, 2021",56.35,56.63,55.80,55.83,"23,686,451"
,"Apr 1, 2021",56.32,57.45,56.14,57.39,"23,194,473"
,"Apr 5, 2021",57.30,57.32,56.14,56.50,"23,264,844"
,"Apr 6, 2021",56.84,57.54,56.26,56.34,"18,926,270"
,"Apr 7, 2021",56.39,56.77,56.24,56.59,"22,384,956"
,"Apr 8, 2021",55.93,56.08,55.32,56.00,"21,999,295"
,"Apr 9, 2021",56.00,56.44,55.53,55.87,"20,020,746"
,"Apr 12, 2021",56.76,56.79,55.31,55.50,"20,238,760"
,"Apr 13, 2021",55.30,55.98,55.09,55.71,"19,370,640"
,"Apr 14, 2021",56.41,58.01,56.25,57.32,"28,051,133"
,"Apr 15, 2021",57.42,57.42,56.78,56.98,"23,250,269"
,"Apr 16, 2021",57.36,57.68,56.44,56.66,"22,752,001"
,"Apr 19, 2021",56.75,57.14,55.96,56.48,"21,123,332"
,"Apr 20, 2021",56.47,56.47,54.78,55.29,"21,782,054"
,"Apr 21, 2021",54.50,56.13,54.30,56.00,"16,625,585"
,"Apr 22, 2021",55.99,55.99,55.02,55.27,"21,600,105"
,"Apr 23, 2021",55.27,55.94,55.18,55.57,"15,341,434"
,"Apr 26, 2021",55.47,56.29,55.44,55.68,"16,083,788"
,"Apr 27, 2021",56.01,56.63,55.81,56.41,"19,278,584"
,"Apr 28, 2021",56.91,58.46,56.79,58.11,"24,729,795"
,"Apr 29, 2021",58.92,59.48,58.15,58.94,"27,318,358"
,"Apr 30, 2021",58.33,58.89,57.16,57.24,"30,518,360"
,"May 3, 2021",57.98,58.99,57.74,58.82,"20,509,578"
,"May 4, 2021",59.00,59.50,58.51,59.19,"23,522,220"
,"May 5, 2021",59.77,61.05,59.40,60.97,"17,323,690"
,"May 6, 2021",60.86,61.64,60.03,61.55,"26,836,752"
,"May 7, 2021",61.07,62.47,60.85,62.43,"33,610,609"
,"May 10, 2021",63.24,64.02,62.53,62.58,"31,956,561"
,"May 11, 2021",61.63,62.39,60.39,60.59,"34,563,768"
,"May 12, 2021",60.01,61.68,59.75,60.04,"34,426,479"
,"May 13, 2021",59.00,60.45,58.75,59.30,"24,268,233"
,"May 14, 2021",59.93,60.88,59.93,60.77,"20,735,400"
,"May 17, 2021",60.54,62.25,60.43,62.19,"25,282,521"
,"May 18, 2021",62.00,62.30,60.40,60.43,"25,170,801"
,"May 19, 2021",59.10,59.86,58.42,58.98,"28,889,805"
,"May 20, 2021",58.95,59.15,58.24,58.84,"20,692,495"
,"May 21, 2021",59.42,59.83,58.85,58.92,"20,792,672"
,"May 24, 2021",59.08,59.80,58.69,59.61,"18,400,267"
,"May 25, 2021",59.50,59.54,58.12,58.26,"25,616,114"
,"May 26, 2021",58.25,59.12,57.90,58.94,"21,698,688"
,"May 27, 2021",59.23,59.70,58.02,58.56,"33,556,026"
,"May 28, 2021",58.73,58.80,58.11,58.37,"19,250,009"
,"Jun 1, 2021",59.45,60.70,59.45,60.46,"28,474,171"
,"Jun 2, 2021",60.75,61.31,60.17,60.94,"22,978,321"
,"Jun 3, 2021",60.55,61.41,60.35,61.18,"20,272,753"
,"Jun 4, 2021",61.46,61.70,60.78,61.45,"20,427,829"
,"Jun 7, 2021",61.33,61.73,61.02,61.05,"15,477,933"
,"Jun 8, 2021",61.50,62.48,60.67,62.13,"28,953,425"
,"Jun 9, 2021",62.67,63.42,62.19,62.65,"29,133,005"
,"Jun 10, 2021",63.61,63.98,62.25,62.75,"27,488,724"
,"Jun 11, 2021",63.01,63.19,62.14,62.17,"17,631,706"
,"Jun 14, 2021",62.30,62.78,61.57,62.07,"16,997,233"
,"Jun 15, 2021",62.48,64.40,62.35,64.33,"30,717,113"
,"Jun 16, 2021",64.32,64.80,63.56,64.10,"24,803,172"
,"Jun 17, 2021",63.86,64.46,61.27,61.99,"28,491,845"
,"Jun 18, 2021",61.00,61.55,60.24,60.40,"39,590,708"
,"Jun 21, 2021",60.93,62.70,60.90,62.59,"33,145,434"
,"Jun 22, 2021",62.85,64.01,62.23,63.79,"25,140,396"
,"Jun 23, 2021",64.05,64.70,63.58,64.26,"20,701,591"
,"Jun 24, 2021",64.15,64.56,63.81,64.52,"19,568,378"
,"Jun 25, 2021",64.61,64.93,64.36,64.66,"18,438,313"
,"Jun 28, 2021",64.56,64.56,62.75,63.01,"20,570,045"
,"Jun 29, 2021",63.21,63.77,62.59,62.62,"19,579,251"
,"Jun 30, 2021",62.70,63.23,62.45,63.08,"17,875,493"
,"Jul 1, 2021",64.33,64.42,62.77,63.26,"22,530,263"
,"Jul 2, 2021",63.01,63.32,62.42,63.17,"14,569,537"
,"Jul 6, 2021",62.75,62.76,60.90,61.37,"22,110,788"
,"Jul 7, 2021",61.18,61.81,59.62,60.41,"21,671,385"
,"Jul 8, 2021",59.45,60.71,59.31,60.14,"18,935,949"
,"Jul 9, 2021",60.70,61.45,60.24,61.23,"20,085,985"
,"Jul 12, 2021",60.42,61.50,60.16,61.17,"21,809,420"
,"Jul 13, 2021",61.00,61.51,60.51,60.88,"17,147,347"
,"Jul 14, 2021",61.17,61.73,59.36,59.53,"21,573,590"
,"Jul 15, 2021",59.17,59.70,58.77,58.95,"15,851,096"
,"Jul 16, 2021",59.18,59.26,57.15,57.32,"27,049,513"
,"Jul 19, 2021",55.64,56.20,54.60,55.35,"37,969,064"
,"Jul 20, 2021",55.50,56.60,55.03,55.96,"26,756,115"
,"Jul 21, 2021",56.86,58.30,56.83,57.76,"20,908,727"
,"Jul 22, 2021",57.73,57.74,56.66,57.11,"13,493,809"
,"Jul 23, 2021",57.29,57.29,56.47,57.04,"14,088,194"
,"Jul 26, 2021",57.16,58.65,57.00,58.48,"18,387,606"
,"Jul 27, 2021",58.01,58.01,57.21,57.83,"16,861,419"
,"Jul 28, 2021",58.00,58.63,57.62,58.22,"16,855,288"
,"Jul 29, 2021",59.00,59.33,58.56,58.93,"18,607,819"
,"Jul 30, 2021",58.88,58.88,57.32,57.57,"28,652,808"
,"Aug 2, 2021",57.55,59.06,57.40,57.58,"20,873,766"
,"Aug 3, 2021",57.57,58.41,56.93,58.20,"18,208,175"
,"Aug 4, 2021",57.19,57.88,56.81,56.84,"20,868,323"
,"Aug 5, 2021",57.13,57.70,56.83,57.20,"15,180,188"
,"Aug 6, 2021",57.66,58.07,57.53,57.86,"14,888,494"
,"Aug 9, 2021",57.13,57.52,56.83,57.20,"17,828,210"
,"Aug 10, 2021",57.42,58.36,57.30,58.18,"16,340,241"
,"Aug 11, 2021",58.19,58.50,57.72,58.35,"18,278,629"
,"Aug 12, 2021",57.40,57.79,56.87,57.35,"19,227,450"
,"Aug 13, 2021",57.03,57.07,56.30,56.77,"20,062,990"
,"Aug 16, 2021",56.02,56.09,55.27,55.94,"16,969,045"
,"Aug 17, 2021",55.50,56.30,55.00,55.56,"16,243,655"
,"Aug 18, 2021",55.42,55.81,54.31,54.39,"21,890,519"
,"Aug 19, 2021",53.47,53.71,52.10,52.73,"30,923,509"
,"Aug 20, 2021",52.27,53.14,52.11,52.74,"16,918,278"
,"Aug 23, 2021",53.95,55.06,53.95,54.91,"21,632,614"
,"Aug 24, 2021",55.29,55.85,55.01,55.36,"17,915,557"
,"Aug 25, 2021",55.24,55.77,54.87,55.46,"13,270,317"
,"Aug 26, 2021",55.20,55.54,54.63,54.71,"11,842,622"
,"Aug 27, 2021",55.40,56.21,55.40,55.77,"15,822,454"
,"Aug 30, 2021",56.24,56.34,55.12,55.16,"14,086,122"
,"Aug 31, 2021",54.93,55.31,54.46,54.52,"27,104,134"
,"Sep 1, 2021",54.49,54.76,53.60,53.77,"21,644,066"
,"Sep 2, 2021",54.29,55.64,54.27,55.08,"23,302,226"
,"Sep 3, 2021",55.12,55.32,54.60,54.87,"13,847,890"
,"Sep 7, 2021",54.67,55.27,54.47,54.55,"14,356,405"
,"Sep 8, 2021",54.79,55.18,54.01,54.05,"18,756,725"
,"Sep 9, 2021",53.62,55.00,53.30,54.09,"19,110,784"
,"Sep 10, 2021",55.19,55.23,53.95,53.98,"15,123,693"
,"Sep 13, 2021",54.65,55.93,54.62,55.37,"22,052,269"
,"Sep 14, 2021",55.69,55.77,54.41,54.58,"19,940,299"
,"Sep 15, 2021",55.37,56.53,55.31,56.42,"23,240,876"
,"Sep 16, 2021",56.46,56.46,55.50,55.82,"17,907,200"
,"Sep 17, 2021",55.34,56.75,55.10,55.16,"30,034,434"
